	UFO Parameters							Reflection Parameters						Other				
Name	Ionization	Error	Velocity	+	-	Column (10^22)	Reference	Spin	Inclination	+	-	Reference	Quality control?	Mass	Reference	Mdot	Reference	Notes
IRAS 13224-3809	4	0.1	0.236	0.006	0.006		Parker+17	0.989+/-0.001	59	1	1	Parker+17	y	6.8+/-1	Gonzalez-Martin 12			Check mass error!
PDS 456			0.299	0.012	0.012		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.278	0.02	0.016		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.286	0.007	0.006		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.292	0.007	0.008		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.269	0.008	0.009		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.296	0.012	0.012		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.266	0.011	0.011		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.248	0.03	0.02		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.255	0.01	0.01		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.24	0.01	0.01		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456			0.34	0.018	0.015		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			Typo in Matzeu+17
PDS 456			0.314	0.026	0.034		Matzeu+17	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456	4.3	0.3	0.25	0.02	0.02		Reeves+18	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PDS 456	4.3	0.3	0.46	0.02	0.02		Reeves+18	>0.99	65	2	2	Chiang+17	y	9.4+/-0.3	Reeves+09			
PG 1211+143	2.9	0.2	0.057	0.001	0.001		Danehkar+17	>0.97	44	2	2	Lobban+16	y	8.2	Peterson+04			Disagreement in spin with Zoghbi, Mass error?
PG 1211+143			0.066	0.003	0.003		Pounds+16	>0.97	44	2	2	Lobban+16	y	8.2	Peterson+04			
PG 1211+143			0.129	0.002	0.002		Pounds+16	>0.97	44	2	2	Lobban+16	y	8.2	Peterson+04			
PG 1211+143			0.151	0.003	0.003		Tombesi+11	>0.97	44	2	2	Lobban+16	y	8.2	Peterson+04			
PG 1211+143			0.062	0.001	0.001		Reeves+18b	>0.97	44	2	2	Lobban+16	y	8.2	Peterson+04			
NGC 4151	4.41	0.5	0.106	0.007	0.007	>2	Tombesi+11	0.98+/-0.01	0	10	0	Keck+15, Beuchert+17	y	7.1	Peterson+04			Mass error?
NGC 4151			0.043	0.006	0.016		Patrick+12	0.98+/-0.01	0	10	0	Keck+15, Beuchert+17	y					
NGC 4151			0.055	0.023	0.023		Gofford+13	0.98+/-0.01	0	10	0	Keck+15, Beuchert+17	y					
NGC 3783	2.1	0.1	0.01	0.005	0.005	2.3+/-0.1	Tombesi+11	>0.88	22	3	8	Brenneman+11	y	7.5	Peterson+04			Too slow
Mrk 509	5	1	0.173	0.004	0.004		Tombesi+11	0.36+0.2-0.37	50	5	3	Walton+13	y	8.1	Peterson+04			
Mrk 509	5	1	0.138	0.004	0.004	>6	Tombesi+11	0.36+0.2-0.37	50	5	3	Walton+13	y	8.1	Peterson+04			
Mrk 509	5	1	0.217	0.024	0.024	>0.7	Tombesi+11	0.36+0.2-0.37	50	5	3	Walton+13	y	8.1	Peterson+04			
Mrk 509			0.172	0.005	0.005		Cappi+09	0.36+0.2-0.37	50	5	3	Walton+13	y	8.1	Peterson+04			
